,FL_DATE,ORIGIN_CITY_NAME,DEST_CITY_NAME,ARR_DELAY,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,WEATHER
238920,2016-01-17,"Rock Springs, WY","Denver, CO",642.0,0.0,642.0,0.0,0.0,0.0,"(u'Light Snow', u'Scattered Clouds')"
251110,2016-01-18,"Hobbs, NM","Houston, TX",221.0,0.0,220.0,1.0,0.0,0.0,"(u'Clear', u'Mostly Cloudy')"
255726,2016-01-18,"Chicago, IL","Honolulu, HI",260.0,0.0,256.0,4.0,0.0,0.0,"(u'Clear', u'Partly Cloudy')"
263030,2016-01-19,"New York, NY","Burlington, VT",217.0,0.0,217.0,0.0,0.0,0.0,"(u'Clear', u'Overcast')"
276437,2016-01-20,"Nashville, TN","Charlotte, NC",216.0,0.0,205.0,11.0,0.0,0.0,"(u'Overcast', u'Partly Cloudy')"
292870,2016-01-21,"Atlanta, GA","Memphis, TN",472.0,0.0,472.0,0.0,0.0,0.0,"(u'Overcast', u'Overcast')"
296545,2016-01-21,"Charleston/Dunbar, WV","Chicago, IL",211.0,0.0,211.0,0.0,0.0,0.0,"(u'Overcast', u'Partly Cloudy')"
305305,2016-01-22,"Chicago, IL","Minneapolis, MN",215.0,0.0,215.0,0.0,0.0,0.0,"(u'Overcast', u'Overcast')"
308273,2016-01-22,"Atlanta, GA","Augusta, GA",552.0,0.0,550.0,2.0,0.0,0.0,"(u'Rain', u'Light Rain')"
310126,2016-01-22,"Nashville, TN","Detroit, MI",341.0,0.0,317.0,24.0,0.0,0.0,"(u'Light Rain', u'Overcast')"
320778,2016-01-23,"Atlanta, GA","Charlotte, NC",353.0,0.0,345.0,8.0,0.0,0.0,"(u'Light Snow', u'Light Snow')"
321006,2016-01-23,"Orlando, FL","Charlotte, NC",353.0,0.0,353.0,0.0,0.0,0.0,"(u'Mostly Cloudy', u'Light Snow')"
321159,2016-01-23,"Buffalo, NY","Charlotte, NC",268.0,0.0,268.0,0.0,0.0,0.0,"(u'Mostly Cloudy', u'Light Snow')"
321189,2016-01-23,"Memphis, TN","Charlotte, NC",348.0,0.0,323.0,25.0,0.0,0.0,"(u'Overcast', u'Light Snow')"
321197,2016-01-23,"New Orleans, LA","Charlotte, NC",453.0,0.0,449.0,4.0,0.0,0.0,"(u'Clear', u'Light Snow')"
321225,2016-01-23,"Syracuse, NY","Charlotte, NC",249.0,0.0,249.0,0.0,0.0,0.0,"(u'Mostly Cloudy', u'Light Snow')"
321227,2016-01-23,"Pittsburgh, PA","Charlotte, NC",402.0,0.0,402.0,0.0,0.0,0.0,"(u'Light Snow', u'Light Snow')"
321254,2016-01-23,"Tampa, FL","Charlotte, NC",248.0,0.0,248.0,0.0,0.0,0.0,"(u'Overcast', u'Light Snow')"
321353,2016-01-23,"Greensboro/High Point, NC","Charlotte, NC",592.0,0.0,592.0,0.0,0.0,0.0,"(u'Light Freezing Drizzle', u'Light Snow')"
321355,2016-01-23,"Providence, RI","Charlotte, NC",348.0,0.0,348.0,0.0,0.0,0.0,"(u'Overcast', u'Light Snow')"
321366,2016-01-23,"Kansas City, MO","Charlotte, NC",349.0,0.0,349.0,0.0,0.0,0.0,"(u'Overcast', u'Light Snow')"
321419,2016-01-23,"Norfolk, VA","Charlotte, NC",578.0,0.0,553.0,25.0,0.0,0.0,"(u'Rain', u'Light Snow')"
321599,2016-01-23,"Albany, NY","Charlotte, NC",206.0,0.0,206.0,0.0,0.0,0.0,"(u'Overcast', u'Light Snow')"
322272,2016-01-23,"Boston, MA","Los Angeles, CA",464.0,0.0,444.0,20.0,0.0,0.0,"(u'Mostly Cloudy', u'Clear')"
