anonid,obsnum,behavior-ontask,behavior-ontaskconv,behavior-offtask,affect-frustrated,affect-concentrating,affect-confused,affect-bored
student13,11,0,0,0,0,0,0,0
student14,1,0,0,1,0,1,0,0
student14,2,1,0,0,0,1,0,0
student14,3,0,1,0,0,1,0,0
student14,4,1,0,0,0,1,0,0
student14,5,0,0,0,0,0,0,0
student14,6,0,0,0,0,0,0,0
student15,1,0,1,0,0,1,0,0
student15,2,1,0,0,0,1,0,0
student15,3,1,0,0,0,1,0,0
student16,1,1,0,0,0,1,0,0
student16,2,1,0,0,0,1,0,0
student16,3,1,0,0,0,1,0,0
student16,4,0,1,0,0,0,0,0
student16,5,0,0,1,0,0,0,0
student17,1,1,0,0,0,1,0,0
student17,2,1,0,0,0,1,0,0
student18,1,1,0,0,0,0,1,0
student18,2,1,0,0,0,1,0,0
student18,3,1,0,0,0,1,0,0
student18,4,1,0,0,0,1,0,0
student18,5,1,0,0,0,1,0,0
student18,6,1,0,0,0,1,0,0
student18,7,1,0,0,0,1,0,0
student18,8,1,0,0,0,1,0,0
student18,9,1,0,0,0,1,0,0
student18,10,0,0,1,0,0,0,1
student18,11,1,0,0,0,1,0,0
student18,12,1,0,0,0,1,0,0
student18,13,1,0,0,0,1,0,0
student19,1,0,0,0,0,1,0,0
student19,2,1,0,0,0,1,0,0
student19,3,1,0,0,0,1,0,0
student19,4,1,0,0,0,1,0,0
student19,5,0,1,0,0,1,0,0
student19,6,1,0,0,0,1,0,0
student19,7,1,0,0,0,1,0,0
student19,8,1,0,0,0,1,0,0
student20,1,1,0,0,0,1,0,0
student20,2,1,0,0,0,1,0,0
student20,3,0,1,0,0,1,0,0
student20,4,1,0,0,0,1,0,0
student20,5,1,0,0,0,1,0,0
student20,6,1,0,0,0,1,0,0
student20,7,1,0,0,0,1,0,0
student20,8,1,0,0,0,0,1,0
student20,9,0,1,0,0,0,1,0
student20,10,1,0,0,0,1,0,0
student20,11,1,0,0,0,1,0,0
student20,12,1,0,0,0,1,0,0
student20,13,1,0,0,0,1,0,0
student20,14,1,0,0,0,0,1,0
student20,15,1,0,0,0,1,0,0
student20,16,0,1,0,0,0,1,0
student20,17,1,0,0,0,1,0,0
student20,18,0,1,0,0,0,1,0
student20,19,1,0,0,0,1,0,0
student21,1,1,0,0,0,1,0,0
student21,2,1,0,0,0,1,0,0
student21,3,1,0,0,0,1,0,0
student21,4,0,1,0,0,1,0,0
student21,5,0,1,0,0,1,0,0
student21,6,1,0,0,0,1,0,0
student21,7,1,0,0,0,1,0,0
student21,8,1,0,0,0,1,0,0
student21,9,0,0,0,0,0,0,0
student21,10,1,0,0,0,1,0,0
student21,11,0,0,1,0,1,0,0
student21,12,0,1,0,0,0,1,0
student21,13,0,1,0,0,0,0,0
student21,14,0,1,0,0,1,0,0
